title,first_name,occupation,nationality,birth_year,age,article,url
james ruse,james,farmer,British,1760,77,"james ruse ( 9 august 1759/17605 september 1837 ) was a cornish farmer who, at the age of 23, was convicted of breaking and entering and was sentenced to seven years ' transportation to australia. he arrived at sydney cove on the first fleet with 18 months of his sentence remaining. ruse applied to governor arthur phillip ( of the colony ) for a land grant, stating that he had been bred to farming. governor phillip, desperate to make the colony self-sufficient, allocated ruse an allotment at rose hill ( parramatta ), where he proved himself industrious and showed that it was possible for a family to survive through farming. having done this, ruse received a grant of, enabling him eventually to sell 600 bushels of corn. this was the very first grant of land in new south wales. ruse later exchanged the grant for more fertile land on the hawkesbury river. in later life, having been almost bankrupted from his farm by flooding, ruse found work as a seaman and later as a landowner 's overseer.",https://en.wikipedia.org/wiki/index.php?curid=318251
marguerite clark,marguerite,actor,American,1883,57,"marguerite clark ( february 22, 1883 -- september 25, 1940 ) was an american stage and silent film actress.",https://en.wikipedia.org/wiki/index.php?curid=2825391
hugh millais,hugh,actor,British,1929,79,hugh geoffroy millais ( 23 december 1929 -- 4 july 2009 ) was a british author and actor known for his film collaborations with director robert altman.,https://en.wikipedia.org/wiki/index.php?curid=22353357
antoni maria alcover i sureda,antoni,priest,Spanish,1862,69,"father antoni maria alcover i sureda, also known ( in catalan ) as `` mossèn alcover '' ( ), ( santa cirga, manacor, 2 february 1862 -- palma, 8 january 1932 ) was a modernist majorcan writer, who wrote on a wide range of subjects including the catholic church, folklore and linguistics. he is chiefly associated with efforts to revive interest in the catalan language and its dialects. among his works was a catalan-valencian-balearic dictionary.",https://en.wikipedia.org/wiki/index.php?curid=12005587
richard bentley ( publisher ),richard,publisher,British,1794,76,"richard bentley ( 24 october 1794 -- 10 september 1871 ) was a 19th-century english publisher. born into a family of publishers, bentley started a firm with his brother in 1819. ten years later, he went into partnership with the publisher henry colburn. although the business was often successful, publishing the famous `` standard novels '' series, the two men did not get along and ended their partnership three years later, with much acrimony. during the 1830s and early 1840s, bentley successfully ran his own publishing firm, establishing the profitable and well-regarded `` bentley 's miscellany ''. however, he and its editor, charles dickens, quarrelled and the periodical went into decline after dickens left. after 1843, bentley 's business started to falter, as hard economic times set in. he was forced to sell many of the copyrights he had purchased as well as `` bentley 's miscellany ''. it was not until 15 years later that his business recovered, and he began initiating projects again. in 1867, he was injured in an accident at a railway station and he suffered ill health after that until his death four years later.",https://en.wikipedia.org/wiki/index.php?curid=26035749
albert caquot,albert,engineer,French,1881,95,"albert irénée caquot ( 1 july 1881 -- 28 november 1976 ) was considered as the `` best living french engineer '' during half a century. he received the `` croix de guerre 1914 -- 1918 ( france ) '' ( military honor ) and was grand-croix of the légion d'honneur ( 1951 ). he was a member of the french academy of sciences from 1934 till his death. in 1962, he was awarded the wilhelm exner medal.",https://en.wikipedia.org/wiki/index.php?curid=11967583
"walter m. miller, jr..",walter,novelist,American,1923,72,"walter michael miller, jr. ( january 23, 1923 -- january 9, 1996 ) was an american science fiction writer. today he is primarily known for `` a canticle for leibowitz '', the only novel he published in his lifetime. prior to its publication he was a prolific writer of short stories.",https://en.wikipedia.org/wiki/index.php?curid=206635
boris papandopulo,boris,composer,Croatian,1906,85,"boris papandopulo ( honnef am rhein, february 25, 1906 -- zagreb, october 16, 1991 ), croatian composer and conductor of russian jewish descent. he was the son of greek nobleman konstantin papandopulo and croatian opera singer maja strozzi-pečić. papandopulo studied composition in zagreb and conducting in vienna. he led the choruses kolo in zagreb and zvonimir in split, was director of opera at the croatian national theatre, conductor of the symphony orchestra of the croatian radio, director of opera in rijeka, and conducted opera in sarajevo, zagreb and split. boris papandopulo has one of the most extensive oeuvre in croatian music ( more than 440 works ).",https://en.wikipedia.org/wiki/index.php?curid=14657264
raymond c. hoiles,raymond,publisher,American,1878,91,"raymond cyrus `` r.c. '' hoiles ( november 24, 1878 -- october 31, 1970 ) was an american newspaper publisher. he was born in alliance, ohio and started his career as a subscription solicitor in the local newspaper `` the alliance review ''. hoiles and his brother bought among many newspapers `` santa ana daily register '' in 1935. hoiles became president of freedom newspapers in 1950, in which position he stayed until his death in 1970.",https://en.wikipedia.org/wiki/index.php?curid=14756839
john steptoe,john,author,American,1950,38,"john steptoe ( september 14, 1950 - august 28, 1989 ) was an award-winning author and illustrator for children 's books dealing with aspects of the african-american experience. he is best known for `` mufaro 's beautiful daughters '', which was acknowledged by literary critics as a breakthrough in african history and culture. john steptoe was born in brooklyn, new york. he began drawing as a young child and received formal art training at the high school of art and design in manhattan. he also attended the vermont academy, where he studied under the sculptor john torres, and william mayors, a widely acclaimed painter. he began his first picture book, `` stevie '', when he was only 16 years old. `` stevie '' was published three years later to outstanding critical praise. it received national attention when it appeared in its entirety in `` life '' magazine, which commended it for being `` a new kind of book for black children. ''",https://en.wikipedia.org/wiki/index.php?curid=16178536
marc isambard brunel,marc,engineer,French,1769,80,"sir marc isambard brunel, frs frse ( 25 april 1769 -- 12 december 1849 ) was a french-born engineer who settled in england. he preferred the name isambard, but is generally known to history as marc to avoid confusion with his more famous son isambard kingdom brunel. his most famous achievement was the construction of the thames tunnel.",https://en.wikipedia.org/wiki/index.php?curid=93964
